"url","id","definition_it","definition_en","label_it","label_en"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/BARR","BARR","Immobile con presenza di barriere architettoniche che limitano o condizionano l'accessibilità.","Property with architectural barriers that limit or condition accessibility.","ACCESSO CON BARRIERE","BARRIER ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/COND","COND","Immobile accessibile solo in presenza di determinate condizioni temporali, eventi o circostanze specifiche.","Property accessible only in the presence of certain temporal conditions, events or specific circumstances.","ACCESSO CONDIZIONATO","CONDITIONAL ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/EMERG","EMERG","Immobile con accesso consentito solo per motivi di emergenza, sicurezza o interventi urgenti.","Property with access allowed only for emergency reasons, security or urgent interventions.","ACCESSO DI EMERGENZA","EMERGENCY ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/EVENTO","EVENTO","Immobile accessibile solo in occasione di eventi, manifestazioni o iniziative specifiche.","Property accessible only on the occasion of specific events, demonstrations or initiatives.","ACCESSO PER EVENTI","EVENT ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/GUIDATO","GUIDATO","Immobile accessibile esclusivamente tramite visite guidate o accompagnamento di personale autorizzato.","Property accessible exclusively through guided tours or accompaniment by authorized personnel.","ACCESSO GUIDATO","GUIDED ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/ORARIO","ORARIO","Immobile accessibile solo in specifiche fasce orarie predeterminate e comunicate al pubblico.","Property accessible only during specific predetermined time slots communicated to the public.","ACCESSO CON ORARIO","SCHEDULED ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/PRIV","PRIV","Immobile a uso esclusivo, non accessibile al pubblico, riservato a specifici utenti o funzioni.","Property for exclusive use, not accessible to the public, reserved for specific users or functions.","ACCESSO PRIVATO","PRIVATE ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/PUBB","PUBB","Immobile liberamente accessibile al pubblico senza necessità di autorizzazioni o limitazioni, nel rispetto degli orari e delle modalità stabilite.","Property freely accessible to the public without the need for authorization or restrictions, in compliance with established schedules and procedures.","ACCESSO PUBBLICO","PUBLIC ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/REGOL","REGOL","Immobile accessibile previo rispetto di specifiche condizioni, procedure o requisiti documentali (prenotazione, biglietto, registrazione).","Property accessible upon compliance with specific conditions, procedures or documentary requirements (booking, ticket, registration).","ACCESSO REGOLAMENTATO","REGULATED ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/RISV","RISV","Immobile accessibile solo a personale autorizzato o a soggetti specificamente abilitati, con controlli all'ingresso.","Property accessible only to authorized personnel or specifically qualified persons, with entry controls.","ACCESSO RISERVATO","RESTRICTED ACCESS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDiAccessoImmobile/UNIV","UNIV","Immobile progettato o adattato per garantire piena accessibilità a tutti, incluse persone con disabilità.","Property designed or adapted to ensure full accessibility to all, including people with disabilities.","ACCESSO UNIVERSALE","UNIVERSAL ACCESS"
